GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RadiusAPI-core,com.tlf.oss.resourceinventory.radius.repository.factory,GenericRepository,6,0,0,0,2,0,2,0,2,0
RadiusAPI-core,com.tlf.oss.resourceinventory.radius.enums,ExceptionInfoEnum,101,0,0,0,14,0,7,0,7,0
RadiusAPI-core,com.tlf.oss.resourceinventory.radius.enums,EntityFields,464,0,0,0,45,0,5,0,5,0
RadiusAPI-core,com.tlf.oss.resourceinventory.radius.validation,DeallocateValidator,40,0,0,0,11,0,3,0,3,0
RadiusAPI-core,com.tlf.oss.resourceinventory.radius.validation,AllocateValidator,40,0,0,0,11,0,3,0,3,0
RadiusAPI-core,com.tlf.oss.resourceinventory.radius.validation,RetrieveValidator,40,0,0,0,11,0,3,0,3,0
RadiusAPI-core,com.tlf.oss.resourceinventory.radius.validation,ValidatorEntity,257,3,20,0,44,1,14,1,4,1
RadiusAPI-core,com.tlf.oss.resourceinventory.radius.repository,AllocateRepository,836,0,14,0,173,0,14,0,7,0
RadiusAPI-core,com.tlf.oss.resourceinventory.radius.repository,DeallocateRepository,365,0,8,0,81,0,8,0,4,0
RadiusAPI-core,com.tlf.oss.resourceinventory.radius.repository,RetrieveRepository,159,0,8,0,36,0,6,0,2,0
RadiusAPI-core,com.tlf.oss.resourceinventory.radius.core,AllocateController,28,97,2,2,4,22,2,3,0,3
RadiusAPI-core,com.tlf.oss.resourceinventory.radius.core,RetrieveController,80,0,2,0,19,0,4,0,3,0
RadiusAPI-core,com.tlf.oss.resourceinventory.radius.core,DeallocateController,22,39,1,1,3,8,1,2,0,2
