GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,AvailabilityRetrieveActiveMsanDslamController,10,0,0,0,3,0,2,0,2,0
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,AvailabilityResourceController,0,30,0,2,0,7,0,3,0,2
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,FacilityResourceController,0,35,0,2,0,8,0,5,0,4
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,AccessRetrieveController,0,23,0,0,0,5,0,3,0,3
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,AvailabilityRetrieveDslamController,0,116,0,2,0,19,0,6,0,5
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,RetrieveExpiredResourcesController,0,82,0,2,0,17,0,4,0,3
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,AllocateResourceGponController,3,217,3,9,1,47,3,10,0,7
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,DeallocateResourceController,27,38,9,3,5,9,5,4,0,3
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,AvailabilityRetrieveMetallicController,17,72,1,5,4,16,1,5,0,3
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,AllocateResourceMetallicController,9,234,2,6,1,42,2,11,0,9
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,AllocateResourceController,11,31,3,3,1,9,2,3,0,2
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,UninstallGponController,2,97,2,6,0,19,2,5,0,3
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,LoadConfigMemoryController,7,14,0,0,3,4,2,2,2,2
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,FacilityResourceMetallicController,0,193,2,8,0,33,2,14,0,11
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,CancelReservedController,0,30,0,2,0,7,0,3,0,2
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,InstallGponController,0,91,0,2,0,16,0,6,0,5
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,CancelReservedMetallicController,18,243,3,9,4,47,4,10,1,7
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,CancelReservedGponController,1,145,3,7,0,27,3,6,0,4
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,FacilityResourceGponController,22,57,1,1,4,12,1,4,0,4
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,IdentifyNetworkController,5,3,0,0,1,1,1,1,1,1
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,AvailabilityRetrieveMsanController,0,134,0,2,0,22,0,7,0,6
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,ReservationResourceMetallicController,21,355,11,19,2,72,11,19,0,15
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,ReservationResourceGponController,1,160,1,7,0,31,1,7,0,4
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,ReservationResourceController,201,161,28,18,35,33,25,13,5,10
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,InstallController,0,30,0,2,0,7,0,3,0,2
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,InstallMetallicController,67,122,4,12,7,26,4,11,0,7
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,DeallocateGponController,63,191,7,11,12,36,7,9,2,5
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,UninstallController,30,0,2,0,7,0,3,0,2,0
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,DeallocateResourceMetallicController,33,279,3,11,7,54,4,13,1,9
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,AvailabilityRetrieveGponController,17,130,5,5,4,30,4,5,0,4
ResourceInventoryGraniteAPI-core,com.tlf.oss.resourceinventory.granite.core,EquipmentRetrievalController,119,0,20,0,27,0,15,0,5,0
