GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ResourceInventoryOSPAPI-core,com.tlf.oss.resourceinventory.osp.core,AvailabilityController,117,568,43,71,23,118,37,53,4,29
ResourceInventoryOSPAPI-core,com.tlf.oss.resourceinventory.osp.core,AllocateGponController,72,306,31,21,11,69,26,13,0,13
ResourceInventoryOSPAPI-core,com.tlf.oss.resourceinventory.osp.core,ReservationGponController,145,645,73,67,30,124,71,20,4,17
ResourceInventoryOSPAPI-core,com.tlf.oss.resourceinventory.osp.core,AvailabilityMetallicController,167,0,20,0,36,0,18,0,8,0
ResourceInventoryOSPAPI-core,com.tlf.oss.resourceinventory.osp.core,DeallocateController,50,0,4,0,15,0,6,0,4,0
ResourceInventoryOSPAPI-core,com.tlf.oss.resourceinventory.osp.core,CancelReservedController,292,0,24,0,66,0,22,0,10,0
ResourceInventoryOSPAPI-core,com.tlf.oss.resourceinventory.osp.core,FacilityResourceMetallicController,232,519,63,55,46,126,52,19,3,9
ResourceInventoryOSPAPI-core,com.tlf.oss.resourceinventory.osp.core,RequestUninstallGponController,122,0,8,0,23,0,8,0,4,0
ResourceInventoryOSPAPI-core,com.tlf.oss.resourceinventory.osp.core,InstallMetallicController,12,156,5,7,2,33,5,5,0,4
ResourceInventoryOSPAPI-core,com.tlf.oss.resourceinventory.osp.core,ReservationController,78,884,66,98,8,203,64,44,0,26
ResourceInventoryOSPAPI-core,com.tlf.oss.resourceinventory.osp.core,AllocateMetallicController,121,292,38,28,22,67,35,11,2,11
ResourceInventoryOSPAPI-core,com.tlf.oss.resourceinventory.osp.core,InstallGponController,0,134,1,9,0,27,1,8,0,4
ResourceInventoryOSPAPI-core,com.tlf.oss.resourceinventory.osp.core,AllocateController,30,31,6,2,8,11,5,3,1,3
ResourceInventoryOSPAPI-core,com.tlf.oss.resourceinventory.osp.core,CancelReservedGponController,10,86,1,3,1,22,1,5,0,4
ResourceInventoryOSPAPI-core,com.tlf.oss.resourceinventory.osp.core,UninstallMetallicController,63,119,6,6,9,25,5,5,0,4
ResourceInventoryOSPAPI-core,com.tlf.oss.resourceinventory.osp.core,DeallocateGponController,10,87,1,3,1,23,1,5,0,4
ResourceInventoryOSPAPI-core,com.tlf.oss.resourceinventory.osp.core,InstallController,15,64,5,5,3,21,3,7,0,5
ResourceInventoryOSPAPI-core,com.tlf.oss.resourceinventory.osp.core,FacilityResourceGponController,11,377,26,36,1,82,26,12,0,7
ResourceInventoryOSPAPI-core,com.tlf.oss.resourceinventory.osp.core,UninstallController,92,0,10,0,31,0,12,0,7,0
ResourceInventoryOSPAPI-core,com.tlf.oss.resourceinventory.osp.core,FacilityResourceController,144,0,14,0,32,0,14,0,7,0
ResourceInventoryOSPAPI-core,com.tlf.oss.resourceinventory.osp.core,CancelReservedMetallicController,9,144,2,4,1,31,2,6,0,5
ResourceInventoryOSPAPI-core,com.tlf.oss.resourceinventory.osp.core,DeallocateMetallicController,0,117,0,6,0,30,0,8,0,5
