GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.enums,ExceptionInfoEnum,3,89,0,0,1,13,1,4,1,4
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.enums,WarnEnum,57,0,0,0,8,0,4,0,4,0
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.enums,Status,0,48,0,0,0,8,0,3,0,3
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.enums,EntityFields,367,0,0,0,37,0,3,0,3,0
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.core,FacilityResourceController,39,203,3,14,8,51,3,12,0,3
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.core,DetermineAvailabilityController,365,282,36,14,71,64,25,8,2,6
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.core,InstallController,34,76,1,1,7,15,1,4,0,4
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.core,UninstallController,34,80,1,1,7,16,1,4,0,4
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.core,DeallocateController,34,80,1,1,7,16,1,4,0,4
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.core,ReserveController,34,108,1,1,7,21,1,3,0,3
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.core,AllocateController,34,173,7,13,7,34,7,6,0,3
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.core,ReleaseController,34,80,1,1,7,16,1,4,0,4
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.entity,DetermineResourceAvailabilityMetallic,226,0,0,0,92,0,46,0,46,0
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.entity,DetermineAvailabilityEntity,184,91,2,0,58,40,20,26,19,26
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.entity,ReleaseResourceEntity,47,41,0,0,17,20,8,11,8,11
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.entity,RetrieveFacilityEntity,93,53,0,0,34,26,16,14,16,14
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.entity,AllocateExternalResourceEntity,141,97,0,0,49,48,24,25,24,25
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.entity,DeallocateResourceEntity,47,41,0,0,17,20,8,11,8,11
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.entity,UninstallResourceEntity,47,41,0,0,17,20,8,11,8,11
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.entity,ReserveEntity,112,73,0,0,40,36,20,19,20,19
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.entity,DetermineDistanceEntity,113,0,0,0,45,0,21,0,21,0
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.entity,InstallResourceEntity,41,37,0,0,15,18,7,10,7,10
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.core.validation,DeallocateValidator,50,0,0,0,12,0,3,0,3,0
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.core.validation,AllocateValidator,85,0,0,0,15,0,3,0,3,0
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.core.validation,ValidatorEntity,973,3,84,0,171,1,58,1,16,1
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.core.validation,ReserveValidator,85,0,0,0,15,0,3,0,3,0
ResourceInventorySagreAPI-core,com.tlf.oss.resourceinventory.sagre.core.validation,UninstallValidator,50,0,0,0,12,0,3,0,3,0
