GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.entity,UninstallEntity,86,0,0,0,36,0,18,0,18,0
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.entity,DeallocateEntity,33,22,0,0,13,11,7,6,7,6
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.entity,ReserveEntity,108,0,0,0,45,0,23,0,23,0
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.entity,RetrieveAssignedTelNumEntity,27,0,0,0,12,0,9,0,9,0
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.entity,DetermineAvailabilityEntity,338,0,0,0,89,0,55,0,55,0
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.entity,RetrievalEquipmentDetailTreeEntity,101,0,0,0,43,0,29,0,29,0
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.entity,RetrieveEntity,539,0,40,0,168,0,64,0,44,0
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.entity,RetrieveNetworkLocationEntity,13,0,0,0,6,0,5,0,5,0
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.entity,GatherResourceEntity,758,227,74,0,226,78,77,38,40,38
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.entity,CabinetRetrievalEntity,214,0,0,0,53,0,36,0,36,0
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.entity,RetrievalEquipmentDetailPortEntity,122,0,0,0,52,0,35,0,35,0
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.entity,InstallEntity,34,22,0,0,13,11,6,6,6,6
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.entity,RetrievalEquipmentEntity,80,0,0,0,34,0,23,0,23,0
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.entity,AllocateEntity,96,72,0,0,34,35,16,19,16,19
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.entity,NetworkInfoEntity,67,195,0,0,33,80,17,58,17,58
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.entity,EntityCommon,59,0,14,0,18,0,10,0,3,0
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.repository.v2_0,FacilityResourceRepository,90,0,4,0,21,0,5,0,3,0
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.core,InstallController,28,58,1,1,4,12,1,3,0,3
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.core,AllocateController,28,198,9,17,4,39,9,7,0,3
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.core,UninstallController,160,0,20,0,29,0,14,0,4,0
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.core,DetermineAvailabilityController,305,0,38,0,67,0,25,0,6,0
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.core,GatherResourceInformationController,10,850,38,48,2,203,38,14,0,9
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.core,RetrieveController,1358,0,138,0,221,0,75,0,6,0
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.core,ReserveController,178,0,18,0,32,0,12,0,3,0
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.core,EquipmentRetrievalController,119,0,20,0,27,0,15,0,5,0
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.core,DeallocateController,28,55,1,1,4,12,1,2,0,2
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.core,CabinetRetrievalController,2,231,7,19,1,47,7,14,0,8
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.core,NetworkInfoController,163,583,40,44,21,130,40,11,0,9
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.core.dao,EquipmentRetrievalDao,549,0,86,0,125,0,56,0,13,0
ResourceInventoryTbsAPI-core,com.tlf.oss.resourceinventory.tbs.enums,OrderEnum,9,59,0,0,0,9,2,3,2,3
